,ID,Tweet Time,Convo ID,Likes Count,Retweets Count,Tweets,Tweets(rendered),in_reply_to_tweet_id,in_reply_to,User,User Location,Followers Count,Followings Count,Likes Count,Tweets Count,clean_tweets,clean_tweets_len,Month,social,historical,dehumanization,accusation,attack,loyalty,threat,Tweets
0,1585739644011892736,2022-10-27 21:06:07,1585739644011892736,460,80,"Sama banget Komentar ini dgn para pendukung setia Bpk Joko Widodo Presiden RI ke 7, yg sangat dicintai Rakyatnya krn Kerja Keras MERDEKA.https://t.co/J13jDjAn8t","Sama banget Komentar ini dgn para pendukung setia Bpk Joko Widodo Presiden RI ke 7, yg sangat dicintai Rakyatnya krn Kerja Keras MERDEKA.https://t.co/J13jDjAn8t",,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,komentar dukung setia joko widodo presiden ri cinta rakyat kerja keras,11,October,1,0,0,0,0,0,0,"Sama banget Komentar ini dgn para pendukung setia Bpk Joko Widodo Presiden RI ke 7, yg sangat dicintai Rakyatnya krn Kerja Keras MERDEKA.https://t.co/J13jDjAn8t"
1,1585737538806853632,2022-10-27 20:57:45,1585737538806853632,420,92,"Ha ha ha sigundul penguasa ancol karena selama ini taunya hanya jilat2 gabenar mulai dibuka jeroannya, KPK Kejaksaan Agung Mabes Polri tolong segera turun/selidiki MERDEKA. https://t.co/Zzp3e2IZ67","Ha ha ha sigundul penguasa ancol karena selama ini taunya hanya jilat2 gabenar mulai dibuka jeroannya, KPK Kejaksaan Agung Mabes Polri tolong segera turun/selidiki MERDEKA. https://t.co/Zzp3e2IZ67",,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,sigundul kuasa ancol unya jilat buka jeroan kpk jaksa agung markas besar polri turun selidik,15,October,1,0,0,1,0,0,0,"Ha ha ha sigundul penguasa ancol karena selama ini taunya hanya jilat2 gabenar mulai dibuka jeroannya, KPK Kejaksaan Agung Mabes Polri tolong segera turun/selidiki MERDEKA. https://t.co/Zzp3e2IZ67"
2,1584780616369049605,2022-10-25 5:35:17,1584780616369049605,343,40,"Kasihan Ibu ini jadi korban akibat dicuci otaknya sama kadrun yg tdk bertanggung jawab, Terima kasih Polisi dan Paspampres Waspada waspada waspadalah MERDEKA. https://t.co/mvS9YwaJNX","Kasihan Ibu ini jadi korban akibat dicuci otaknya sama kadrun yg tdk bertanggung jawab, Terima kasih Polisi dan Paspampres Waspada waspada waspadalah MERDEKA. https://t.co/mvS9YwaJNX",,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,kasihan korban akibat cuci otak kadrun tanggung terima kasih polisi paspampres waspada waspada waspada,14,October,0,0,1,1,0,0,0,"Kasihan Ibu ini jadi korban akibat dicuci otaknya sama kadrun yg tdk bertanggung jawab, Terima kasih Polisi dan Paspampres Waspada waspada waspadalah MERDEKA. https://t.co/mvS9YwaJNX"
3,1584778048120836096,2022-10-25 5:25:05,1584778048120836096,212,23,"Ha ha hakadrun pada stresssssss mengenai beberapa Pemimpin di Negara Inggeris dari Keturunan, perlu diketahui mereka tdk pernah  mengangkat masalah Identitas SARA Ujaran kebencian Fitnah dan Teror yg melahirkan gabenar DKI Kura2 dalam Perahu eh Pura2 tdk Tau MERDEKA","Ha ha hakadrun pada stresssssss mengenai beberapa Pemimpin di Negara Inggeris dari Keturunan, perlu diketahui mereka tdk pernah  mengangkat masalah Identitas SARA Ujaran kebencian Fitnah dan Teror yg melahirkan gabenar DKI Kura2 dalam Perahu eh Pura2 tdk Tau MERDEKA",,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,kadrun stres pimpin negara inggeris turun angkat identitas sara ujar benci fitnah teror lahir dki kura perahu pura,18,October,1,0,1,0,0,0,0,"Ha ha hakadrun pada stresssssss mengenai beberapa Pemimpin di Negara Inggeris dari Keturunan, perlu diketahui mereka tdk pernah  mengangkat masalah Identitas SARA Ujaran kebencian Fitnah dan Teror yg melahirkan gabenar DKI Kura2 dalam Perahu eh Pura2 tdk Tau MERDEKA"
4,1584774254502912000,2022-10-25 5:10:00,1584774254502912000,860,63,"Kok sewot dgn Pidato Sambutan Bpk Joko Widodo Presiden RI ke 7 di Acara HUT Partai Golkar ?, barisan sakit hati &amp; kadrun pada kebakaran jenggot dgn ucapan s e m b r o n o sabar saja duduk diboncengan &amp; mari Kerja kerja kerja dulu utk Rakyat INDONESIA tercinta MERDEKA. https://t.co/u1mZvd0AGA","Kok sewot dgn Pidato Sambutan Bpk Joko Widodo Presiden RI ke 7 di Acara HUT Partai Golkar ?, barisan sakit hati &amp; kadrun pada kebakaran jenggot dgn ucapan s e m b r o n o sabar saja duduk diboncengan &amp; mari Kerja kerja kerja dulu utk Rakyat INDONESIA tercinta MERDEKA. https://t.co/u1mZvd0AGA",,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,sewot pidato sambut joko widodo presiden ri hut partai golkar baris sakit hati kadrun bakar jenggot ucap s e b r o o sabar duduk bonceng kerja kerja kerja rakyat indonesia ter cinta,33,October,0,0,1,0,0,0,0,"Kok sewot dgn Pidato Sambutan Bpk Joko Widodo Presiden RI ke 7 di Acara HUT Partai Golkar ?, barisan sakit hati &amp; kadrun pada kebakaran jenggot dgn ucapan s e m b r o n o sabar saja duduk diboncengan &amp; mari Kerja kerja kerja dulu utk Rakyat INDONESIA tercinta MERDEKA. https://t.co/u1mZvd0AGA"
5,1584146136817811456,2022-10-23 11:34:05,1584146136817811456,0,0,"@BosPurwa Ha ha ha makin pesong/gila nie ye kadrun, Pak Joko Widodo gitu lho Presiden RI yg sangat diCintai Rakyatnya MERDEKA.","@BosPurwa Ha ha ha makin pesong/gila nie ye kadrun, Pak Joko Widodo gitu lho Presiden RI yg sangat diCintai Rakyatnya MERDEKA.",,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,pesong gila kadrun joko widodo lho presiden ri cinta rakyat,10,October,1,0,1,0,0,0,0,"@BosPurwa Ha ha ha makin pesong/gila nie ye kadrun, Pak Joko Widodo gitu lho Presiden RI yg sangat diCintai Rakyatnya MERDEKA."
6,1584144073996181504,2022-10-23 11:25:53,1584144073996181504,0,0,@_melody_mellow Ha ha ha pesong/gila mana mungkin berfantasi kadrun  sich MERDEKA.,@_melody_mellow Ha ha ha pesong/gila mana mungkin berfantasi kadrun  sich MERDEKA.,,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,pesong gila fantasi kadrun,4,October,0,0,1,0,0,0,0,@_melody_mellow Ha ha ha pesong/gila mana mungkin berfantasi kadrun  sich MERDEKA.
7,1583745114375012353,2022-10-22 9:00:34,1583745114375012353,91,12,"Ha ha ha katanya pintar ?, tolong dong melihatnya kasus perkasus karena tiap kasus itu beda jadi jangan ngebacot karena hanya karena kebencian MERDEKA.https://t.co/X8Ikw4Yw1d","Ha ha ha katanya pintar ?, tolong dong melihatnya kasus perkasus karena tiap kasus itu beda jadi jangan ngebacot karena hanya karena kebencian MERDEKA.jurnas.com/artikel/125866",,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,pintar kasus beda ngebacot benci,5,October,0,0,0,0,0,0,0,"Ha ha ha katanya pintar ?, tolong dong melihatnya kasus perkasus karena tiap kasus itu beda jadi jangan ngebacot karena hanya karena kebencian MERDEKA.https://t.co/X8Ikw4Yw1d"
8,1583635566008029185,2022-10-22 1:45:16,1583635566008029185,290,25,"Karena sembrono gabenar tetap hanya Bakal Calon Presiden, karena koalisinya rapuh jadi pasti peca kongsi setelah calonnya gagal jadi Bakal Calon Wakil Presiden gabenar dan sekarang partainya sudah dibujuk bergabung di KIB MERDEKA.","Karena sembrono gabenar tetap hanya Bakal Calon Presiden, karena koalisinya rapuh jadi pasti peca kongsi setelah calonnya gagal jadi Bakal Calon Wakil Presiden gabenar dan sekarang partainya sudah dibujuk bergabung di KIB MERDEKA.",,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,sembrono calon presiden koalisi rapuh peca kongsi calon gagal calon wakil presiden partai bujuk gabung kib,16,October,1,0,0,0,0,0,0,"Karena sembrono gabenar tetap hanya Bakal Calon Presiden, karena koalisinya rapuh jadi pasti peca kongsi setelah calonnya gagal jadi Bakal Calon Wakil Presiden gabenar dan sekarang partainya sudah dibujuk bergabung di KIB MERDEKA."
9,1583567179559014400,2022-10-21 21:13:31,1583567179559014400,1112,156,"Sudah jelaskan jangan Sembrono mencalonkan Presiden dan Wakil Presiden demikian secara tegas dikatakan Bpk Joko Widodo Presiden RI dalam sambutan HUT Partai Golkar, 100 utk Pak JOKOWI walaupun ada yg tersungging eh tersinggung mendengarnya MERDEKA. https://t.co/XG6ia8ky6Z","Sudah jelaskan jangan Sembrono mencalonkan Presiden dan Wakil Presiden demikian secara tegas dikatakan Bpk Joko Widodo Presiden RI dalam sambutan HUT Partai Golkar, 100 utk Pak JOKOWI walaupun ada yg tersungging eh tersinggung mendengarnya MERDEKA. https://t.co/XG6ia8ky6Z",,,ruhutsitompul,Jakarta,2341641,194781,3635,22685,sembrono calon presiden wakil presiden joko widodo presiden ri sambut hut partai golkar jokowi sungging singgung dengar,17,October,1,0,0,0,0,0,0,"Sudah jelaskan jangan Sembrono mencalonkan Presiden dan Wakil Presiden demikian secara tegas dikatakan Bpk Joko Widodo Presiden RI dalam sambutan HUT Partai Golkar, 100 utk Pak JOKOWI walaupun ada yg tersungging eh tersinggung mendengarnya MERDEKA. https://t.co/XG6ia8ky6Z"
